datetime,temperature,humidity
2016-01-01 0:00,3.0,60.6
2016-01-01 1:00,2.6,60.8
2016-01-01 2:00,2.6,59.6
2016-01-01 3:00,2.1,62.4
2016-01-01 4:00,2.0,62.4
2016-01-01 5:00,1.7,60.8
2016-01-01 6:00,1.5,60.8
2016-01-01 7:00,1.0,65.8
2016-01-01 8:00,0.6,68.4
2016-01-01 9:00,1.9,57.9
2016-01-01 10:00,4.1,51.0
2016-01-01 11:00,6.1,43.1
2016-01-01 12:00,7.1,38.5
2016-01-01 13:00,8.9,40.0
2016-01-01 14:00,9.3,41.0
2016-01-01 15:00,9.2,45.1
2016-01-01 16:00,9.6,43.7
2016-01-01 17:00,9.5,40.0
2016-01-01 18:00,8.3,34.6
2016-01-01 19:00,7.2,41.4
2016-01-01 20:00,6.8,48.0
2016-01-01 21:00,5.6,51.3
2016-01-01 22:00,5.0,56.2
2016-01-01 23:00,4.6,56.5
2016-01-02 0:00,4.8,58.3
2016-01-02 1:00,4.1,65.7
2016-01-02 2:00,3.8,65.5
2016-01-02 3:00,3.9,64.4
2016-01-02 4:00,3.5,64.6
2016-01-02 5:00,4.1,61.5
2016-01-02 6:00,3.6,63.4
2016-01-02 7:00,3.3,64.9
2016-01-02 8:00,3.9,65.3
2016-01-02 9:00,4.3,65.6
2016-01-02 10:00,6.4,59.6
2016-01-02 11:00,8.4,57.8
2016-01-02 12:00,8.9,64.4
2016-01-02 13:00,11.2,55.6
2016-01-02 14:00,11.7,53.7
2016-01-02 15:00,13.8,49.5
2016-01-02 16:00,11.9,50.6
2016-01-02 17:00,10.7,54.9
2016-01-02 18:00,10.2,57.8
2016-01-02 19:00,9.5,66.0
2016-01-02 20:00,9.4,66.8
2016-01-02 21:00,9.5,66.8
2016-01-02 22:00,8.7,64.6
2016-01-02 23:00,8.1,66.3
2016-01-03 0:00,7.9,69.3
2016-01-03 1:00,8.7,69.1
2016-01-03 2:00,7.6,70.0
2016-01-03 3:00,8.5,69.0
2016-01-03 4:00,7.9,71.9
2016-01-03 5:00,9.6,65.7
2016-01-03 6:00,9.2,67.1
2016-01-03 7:00,9.2,66.8
2016-01-03 8:00,9.2,66.8
2016-01-03 9:00,9.2,68.4
2016-01-03 10:00,10.1,64.0
2016-01-03 11:00,11.2,61.2
2016-01-03 12:00,12.6,59.8
2016-01-03 13:00,13.5,58.7
2016-01-03 14:00,14.2,60.1
2016-01-03 15:00,14.4,63.1
2016-01-03 16:00,13.9,72.8
2016-01-03 17:00,12.5,81.4
2016-01-03 18:00,11.9,87.9
2016-01-03 19:00,11.8,71.9
2016-01-03 20:00,11.2,73.1
2016-01-03 21:00,10.9,73.0
2016-01-03 22:00,9.9,72.1
2016-01-03 23:00,9.2,81.0
2016-01-04 0:00,9.9,75.7
2016-01-04 1:00,9.4,77.1
2016-01-04 2:00,9.4,75.3
2016-01-04 3:00,9.1,70.3
2016-01-04 4:00,8.6,69.8
2016-01-04 5:00,7.7,73.7
2016-01-04 6:00,7.9,70.9
2016-01-04 7:00,7.9,71.5
2016-01-04 8:00,8.0,73.1
2016-01-04 9:00,9.0,71.1
2016-01-04 10:00,10.1,71.0
2016-01-04 11:00,11.3,61.4
2016-01-04 12:00,12.3,47.3
2016-01-04 13:00,12.0,42.8
2016-01-04 14:00,13.2,35.0
2016-01-04 15:00,13.3,26.9
2016-01-04 16:00,12.9,26.3
2016-01-04 17:00,11.6,30.6
2016-01-04 18:00,10.5,31.4
2016-01-04 19:00,9.6,32.2
2016-01-04 20:00,9.3,30.9
2016-01-04 21:00,9.1,27.3
2016-01-04 22:00,8.4,24.4
2016-01-04 23:00,7.9,23.6
2016-01-05 0:00,7.4,21.7
2016-01-05 1:00,6.5,31.3
2016-01-05 2:00,6.3,24.7
2016-01-05 3:00,6.1,24.6
2016-01-05 4:00,5.6,24.1
2016-01-05 5:00,5.1,25.7
2016-01-05 6:00,4.7,27.9
2016-01-05 7:00,4.5,26.1
2016-01-05 8:00,4.2,24.0
2016-01-05 9:00,4.3,24.1
2016-01-05 10:00,4.6,27.2
2016-01-05 11:00,4.7,30.4
2016-01-05 12:00,5.5,49.4
2016-01-05 13:00,6.1,56.5
2016-01-05 14:00,6.4,55.5
2016-01-05 15:00,6.6,57.2
2016-01-05 16:00,6.5,38.2
2016-01-05 17:00,6.3,24.9
2016-01-05 18:00,5.5,24.0
2016-01-05 19:00,5.5,22.5
2016-01-05 20:00,4.8,21.0
2016-01-05 21:00,4.0,22.5
2016-01-05 22:00,3.6,23.0
2016-01-05 23:00,3.3,23.9
2016-01-06 0:00,2.7,26.1
2016-01-06 1:00,2.1,28.2
2016-01-06 2:00,2.0,27.4
2016-01-06 3:00,1.6,28.0
2016-01-06 4:00,1.3,27.5
2016-01-06 5:00,1.2,25.1
2016-01-06 6:00,1.5,25.9
2016-01-06 7:00,1.6,31.1
2016-01-06 8:00,1.3,39.5
2016-01-06 9:00,1.2,45.8
2016-01-06 10:00,2.5,46.2
2016-01-06 11:00,4.5,42.5
2016-01-06 12:00,5.9,40.8
2016-01-06 13:00,7.3,38.0
2016-01-06 14:00,8.5,34.1
2016-01-06 15:00,8.5,31.8
2016-01-06 16:00,7.1,34.8
2016-01-06 17:00,5.9,37.2
2016-01-06 18:00,4.9,43.4
2016-01-06 19:00,4.3,46.9
2016-01-06 20:00,4.6,46.8
2016-01-06 21:00,4.6,46.4
2016-01-06 22:00,4.2,49.1
2016-01-06 23:00,3.8,54.5
2016-01-07 0:00,3.6,55.5
2016-01-07 1:00,3.3,57.1
2016-01-07 2:00,2.9,58.1
2016-01-07 3:00,2.6,60.7
2016-01-07 4:00,1.8,60.6
2016-01-07 5:00,1.2,63.8
2016-01-07 6:00,1.2,62.3
2016-01-07 7:00,0.9,62.7
2016-01-07 8:00,0.6,62.1
2016-01-07 9:00,1.6,55.9
2016-01-07 10:00,2.8,47.1
2016-01-07 11:00,4.4,43.5
2016-01-07 12:00,5.3,39.4
2016-01-07 13:00,6.2,35.4
2016-01-07 14:00,6.9,34.2
2016-01-07 15:00,6.7,31.9
2016-01-07 16:00,6.4,29.5
2016-01-07 17:00,5.2,29.7
